,dense_activation,dense_size,batch_size,lr,lstm_hidden_size,accuracy
0,softmax,256,1024,0.0032853686674623834,32,0.8536499738693237
1,sigmoid,64,128,0.00037762850571857555,32,0.8525999784469604
2,softmax,256,512,0.0021368198443701128,64,0.8521000146865845
3,relu,32,2048,0.005420349049540867,32,0.8519999980926514
4,sigmoid,128,256,0.0008589659855055983,64,0.8517500162124634
5,softmax,32,256,0.0004600812011342907,128,0.8517000079154968
6,tanh,256,128,0.0011526417112468807,32,0.8514500260353088
7,softmax,64,512,0.0007276714559482394,64,0.8507000207901001
8,relu,128,2048,0.022939190014495493,32,0.850600004196167
9,sigmoid,64,2048,0.0020648180691196895,64,0.850600004196167
10,relu,64,2048,0.0013438704002471334,32,0.8504999876022339
11,sigmoid,128,8192,0.0140167765330004,32,0.850350022315979
12,relu,64,8192,0.02587686897632085,64,0.8497999906539917
13,tanh,64,4096,0.01564050798467771,32,0.8494499921798706
14,elu,64,2048,0.00936425647434679,64,0.849049985408783
15,elu,32,2048,0.003257586692267012,128,0.8486999869346619
16,relu,256,256,0.0016474609153858714,64,0.848550021648407
17,softmax,32,128,0.0002926116310249127,32,0.8479499816894531
18,sigmoid,128,4096,0.00040120033964844863,128,0.8469499945640564
19,elu,32,4096,0.01267447416399062,256,0.846750020980835
20,softmax,32,4096,0.0036008612551327074,128,0.8462499976158142
21,relu,256,1024,0.005106423950782281,256,0.8461499810218811
22,relu,128,1024,0.0004785660887157916,32,0.8460999727249146
23,relu,32,256,0.00014516162372028998,128,0.8460000157356262
24,sigmoid,256,512,0.0002195078115240118,256,0.8457499742507935
25,elu,128,1024,0.0004022318088271684,32,0.845550000667572
26,relu,32,128,0.00042104985544153917,128,0.845550000667572
27,sigmoid,32,2048,0.00029674268894218093,256,0.8453500270843506
28,softmax,128,512,0.0001471778186633744,256,0.8449000120162964
29,sigmoid,32,1024,0.0005690083597779617,256,0.8447499871253967
30,softmax,64,2048,0.00036508569366449983,256,0.8440499901771545
31,sigmoid,64,8192,0.0008124399919878727,256,0.84375
32,sigmoid,32,4096,0.002164543215661746,256,0.8432999849319458
33,relu,256,128,0.000637977105322568,256,0.8428500294685364
34,tanh,256,2048,0.00042556986966034584,32,0.8427500128746033
35,elu,128,128,0.00030893490534391455,256,0.8424000144004822
36,relu,128,4096,0.01081042108339753,256,0.8422999978065491
37,softmax,256,128,0.0004456291421194534,256,0.84170001745224
38,softmax,256,512,0.0023231268382761148,256,0.8414000272750854
39,sigmoid,256,4096,0.00036943485507731264,256,0.8406999707221985
40,tanh,128,8192,0.08763092072217832,32,0.8392500281333923
41,sigmoid,64,8192,0.0002698046750924153,256,0.838949978351593
42,relu,256,256,4.424309218875571e-05,32,0.8385000228881836
43,relu,256,1024,0.00015804715838769955,64,0.8377000093460083
44,softmax,256,8192,0.061829941365022185,64,0.8374000191688538
45,softmax,32,512,3.3462728655384124e-05,256,0.8363999724388123
46,sigmoid,128,512,6.763398849463889e-05,64,0.8352000117301941
47,elu,256,128,1.5043221274838052e-05,128,0.8349000215530396
48,sigmoid,128,256,3.87114316606646e-05,32,0.8334500193595886
49,softmax,128,512,5.708946551549432e-05,64,0.8334000110626221
50,elu,128,4096,4.8191236898069005e-05,128,0.8320500254631042
51,tanh,64,512,4.7716883668132356e-05,32,0.8317499756813049
52,sigmoid,32,2048,2.9334699637604908e-05,256,0.83160001039505
53,tanh,64,512,1.3886399537216183e-05,256,0.8314999938011169
54,relu,256,4096,0.00011775189914864367,32,0.8309000134468079
55,softmax,256,1024,3.783478168106351e-05,64,0.8305000066757202
56,relu,32,8192,0.0002028017984223842,32,0.8300499916076659
57,sigmoid,256,8192,0.00015737415489344104,64,0.8295000195503235
58,relu,256,1024,1.0981040255452021e-05,128,0.8292999863624573
59,sigmoid,256,4096,2.9706600611331482e-05,32,0.8282499909400941
60,relu,128,8192,1.3504982081507883e-05,64,0.8271999955177307
61,tanh,64,2048,1.8686669448642964e-05,256,0.8270000219345093
62,tanh,64,8192,1.4248283231616784e-05,128,0.8264999985694885
63,softmax,64,4096,1.2503060699252086e-05,128,0.8253999948501587
64,tanh,256,128,0.003848395153142529,32,0.8241000175476074
65,sigmoid,64,256,0.006057324710198765,32,0.8102999925613403
66,sigmoid,128,256,0.005939369441953369,256,0.8095999956130981
67,sigmoid,64,2048,0.09052322382630497,32,0.8090999722480774
68,tanh,64,128,0.005406451034514673,64,0.8084499835968018
69,tanh,256,1024,0.021858665417130347,32,0.8072500228881836
70,tanh,32,512,0.007502925379197194,128,0.807200014591217
71,sigmoid,256,1024,0.013415634833902436,128,0.8066999912261963
72,tanh,64,1024,0.025046883403729243,32,0.8063499927520752
73,tanh,128,1024,0.02007066417905586,64,0.8032000064849854
74,softmax,64,2048,0.0709466312999254,32,0.8022999763488771
